2024-12-12,10:42:54,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
7.4894924376e-05,1.2416818740e-04,1.4500685659e-04,5.8902750183e+01,1.0000001526e+07,1.0823724228e-04,1.7594737097e-04,7.4894924376e-05,1.2416818740e-04,1.4500685659e-04,5.8902750183e+01,7.4894924376e-05,1.2416818740e-04,1.4500685659e-04,5.8902750183e+01,7.4894924376e-05,1.2416818740e-04,1.4500685659e-04,5.8902750183e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.2500381563e-03
7.3328580939e-05,1.2582202111e-04,1.4563056608e-04,5.9766539936e+01,1.0000003052e+07,1.0823690399e-04,1.7594657567e-04,7.3328580939e-05,1.2582202111e-04,1.4563056608e-04,5.9766539936e+01,7.3328580939e-05,1.2582202111e-04,1.4563056608e-04,5.9766539936e+01,7.3328580939e-05,1.2582202111e-04,1.4563056608e-04,5.9766539936e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
7.1319789033e-05,1.2596864234e-04,1.4475707637e-04,6.0482724894e+01,1.0000003052e+07,1.0823662308e-04,1.7594564109e-04,7.1319789033e-05,1.2596864234e-04,1.4475707637e-04,6.0482724894e+01,7.1319789033e-05,1.2596864234e-04,1.4475707637e-04,6.0482724894e+01,7.1319789033e-05,1.2596864234e-04,1.4475707637e-04,6.0482724894e+01,9.3752861721e-04,1.2500381563e-03,6.2501907814e-04,3.1250953907e-04
6.9286275000e-05,1.2482283199e-04,1.4276318605e-04,6.0966360194e+01,1.0000003052e+07,1.0823634868e-04,1.7594370885e-04,6.9286275000e-05,1.2482283199e-04,1.4276318605e-04,6.0966360194e+01,6.9286275000e-05,1.2482283199e-04,1.4276318605e-04,6.0966360194e+01,6.9286275000e-05,1.2482283199e-04,1.4276318605e-04,6.0966360194e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
6.7635589623e-05,1.2268648128e-04,1.4009477389e-04,6.1132582225e+01,1.0000003052e+07,1.0823634580e-04,1.7594293267e-04,6.7635589623e-05,1.2268648128e-04,1.4009477389e-04,6.1132582225e+01,6.7635589623e-05,1.2268648128e-04,1.4009477389e-04,6.1132582225e+01,6.7635589623e-05,1.2268648128e-04,1.4009477389e-04,6.1132582225e+01,-6.2501907814e-04,0.0000000000e+00,-1.2500381563e-03,-1.8750572344e-03
6.6527258398e-05,1.2045908807e-04,1.3760911310e-04,6.1088971227e+01,1.0000003052e+07,1.0823640191e-04,1.7594239277e-04,6.6527258398e-05,1.2045908807e-04,1.3760911310e-04,6.1088971227e+01,6.6527258398e-05,1.2045908807e-04,1.3760911310e-04,6.1088971227e+01,6.6527258398e-05,1.2045908807e-04,1.3760911310e-04,6.1088971227e+01,3.7501144689e-03,4.3751336634e-03,3.7501144689e-03,3.1250952743e-03
6.5851296984e-05,1.1961013545e-04,1.3653929038e-04,6.1165045858e+01,1.0000003052e+07,1.0823648546e-04,1.7594201245e-04,6.5851296984e-05,1.1961013545e-04,1.3653929038e-04,6.1165045858e+01,6.5851296984e-05,1.1961013545e-04,1.3653929038e-04,6.1165045858e+01,6.5851296984e-05,1.1961013545e-04,1.3653929038e-04,6.1165045858e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
6.5441194317e-05,1.2039371064e-04,1.3702990723e-04,6.1473274959e+01,1.0000003052e+07,1.0823655691e-04,1.7594160444e-04,6.5441194317e-05,1.2039371064e-04,1.3702990723e-04,6.1473274959e+01,6.5441194317e-05,1.2039371064e-04,1.3702990723e-04,6.1473274959e+01,6.5441194317e-05,1.2039371064e-04,1.3702990723e-04,6.1473274959e+01,-3.1250953907e-04,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
6.5176972915e-05,1.2164915581e-04,1.3800925660e-04,6.1818566760e+01,1.0000003052e+07,1.0823657841e-04,1.7594103449e-04,6.5176972915e-05,1.2164915581e-04,1.3800925660e-04,6.1818566760e+01,6.5176972915e-05,1.2164915581e-04,1.3800925660e-04,6.1818566760e+01,6.5176972915e-05,1.2164915581e-04,1.3800925660e-04,6.1818566760e+01,0.0000000000e+00,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
6.4886174980e-05,1.2229761229e-04,1.3844465203e-04,6.2051388543e+01,1.0000003052e+07,1.0823652734e-04,1.7594028752e-04,6.4886174980e-05,1.2229761229e-04,1.3844465203e-04,6.2051388543e+01,6.4886174980e-05,1.2229761229e-04,1.3844465203e-04,6.2051388543e+01,6.4886174980e-05,1.2229761229e-04,1.3844465203e-04,6.2051388543e+01,6.2501907814e-04,6.2501907814e-04,-3.1250953907e-04,-6.2501907814e-04
