2024-12-09,15:59:42,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
6.5170908175e-05,1.2769894137e-04,1.4336759362e-04,6.2962599124e+01,1.0000003052e+07,6.1847183723e-05,7.8958509340e-05,6.5170908175e-05,1.2769894137e-04,1.4336759362e-04,6.2962599124e+01,6.5170908175e-05,1.2769894137e-04,1.4336759362e-04,6.2962599124e+01,6.5170908175e-05,1.2769894137e-04,1.4336759362e-04,6.2962599124e+01,6.2501907814e-04,1.2500381563e-03,3.1250953907e-04,-3.1250953907e-04
6.4964687915e-05,1.2854707167e-04,1.4403041454e-04,6.3189036873e+01,1.0000003052e+07,6.1852612030e-05,7.8962536690e-05,6.4964687915e-05,1.2854707167e-04,1.4403041454e-04,6.3189036873e+01,6.4964687915e-05,1.2854707167e-04,1.4403041454e-04,6.3189036873e+01,6.4964687915e-05,1.2854707167e-04,1.4403041454e-04,6.3189036873e+01,-9.3752861721e-04,-6.2501907814e-04,-1.2500381563e-03,-1.8750572344e-03
6.5955656400e-05,1.2814625269e-04,1.4412359519e-04,6.2765555848e+01,1.0000003052e+07,6.1857960862e-05,7.8966543610e-05,6.5955656400e-05,1.2814625269e-04,1.4412359519e-04,6.2765555848e+01,6.5955656400e-05,1.2814625269e-04,1.4412359519e-04,6.2765555848e+01,6.5955656400e-05,1.2814625269e-04,1.4412359519e-04,6.2765555848e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
6.7852182591e-05,1.2671256445e-04,1.4373584337e-04,6.1831797264e+01,1.0000003052e+07,6.1863093249e-05,7.8970662667e-05,6.7852182591e-05,1.2671256445e-04,1.4373584337e-04,6.1831797264e+01,6.7852182591e-05,1.2671256445e-04,1.4373584337e-04,6.1831797264e+01,6.7852182591e-05,1.2671256445e-04,1.4373584337e-04,6.1831797264e+01,-6.2501907814e-04,-3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
7.0226795268e-05,1.2502313387e-04,1.4339660657e-04,6.0676629404e+01,1.0000003052e+07,6.1867928302e-05,7.8974995105e-05,7.0226795268e-05,1.2502313387e-04,1.4339660657e-04,6.0676629404e+01,7.0226795268e-05,1.2502313387e-04,1.4339660657e-04,6.0676629404e+01,7.0226795268e-05,1.2502313387e-04,1.4339660657e-04,6.0676629404e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-9.3752861721e-04
7.2547404481e-05,1.2381794528e-04,1.4350613043e-04,5.9633116175e+01,1.0000003052e+07,6.1872439852e-05,7.8979550170e-05,7.2547404481e-05,1.2381794528e-04,1.4350613043e-04,5.9633116175e+01,7.2547404481e-05,1.2381794528e-04,1.4350613043e-04,5.9633116175e+01,7.2547404481e-05,1.2381794528e-04,1.4350613043e-04,5.9633116175e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
7.4214027024e-05,1.2288858150e-04,1.4355948338e-04,5.8871675709e+01,1.0000003052e+07,6.1880681058e-05,7.8989139009e-05,7.4214027024e-05,1.2288858150e-04,1.4355948338e-04,5.8871675709e+01,7.4214027024e-05,1.2288858150e-04,1.4355948338e-04,5.8871675709e+01,7.4214027024e-05,1.2288858150e-04,1.4355948338e-04,5.8871675709e+01,3.1250953907e-04,3.1250953907e-04,-3.1250953907e-04,-6.2501907814e-04
7.5042850361e-05,1.2128272689e-04,1.4262162961e-04,5.8253140007e+01,1.0000003052e+07,6.1884596457e-05,7.8994259034e-05,7.5042850361e-05,1.2128272689e-04,1.4262162961e-04,5.8253140007e+01,7.5042850361e-05,1.2128272689e-04,1.4262162961e-04,5.8253140007e+01,7.5042850361e-05,1.2128272689e-04,1.4262162961e-04,5.8253140007e+01,-3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04,-1.2500381563e-03
7.5193050147e-05,1.1856131319e-04,1.4039508458e-04,5.7616629197e+01,1.0000003052e+07,6.1888485708e-05,7.8999775999e-05,7.5193050147e-05,1.1856131319e-04,1.4039508458e-04,5.7616629197e+01,7.5193050147e-05,1.1856131319e-04,1.4039508458e-04,5.7616629197e+01,7.5193050147e-05,1.1856131319e-04,1.4039508458e-04,5.7616629197e+01,-3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04,-1.5625476371e-03
7.4450665867e-05,1.1536618287e-04,1.3730352434e-04,5.7164144456e+01,1.0000003052e+07,6.1892436073e-05,7.9005790602e-05,7.4450665867e-05,1.1536618287e-04,1.3730352434e-04,5.7164144456e+01,7.4450665867e-05,1.1536618287e-04,1.3730352434e-04,5.7164144456e+01,7.4450665867e-05,1.1536618287e-04,1.3730352434e-04,5.7164144456e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.2500381563e-03
7.2715936039e-05,1.1269838283e-04,1.3412133629e-04,5.7168841505e+01,1.0000003052e+07,6.1896560563e-05,7.9012295489e-05,7.2715936039e-05,1.1269838283e-04,1.3412133629e-04,5.7168841505e+01,7.2715936039e-05,1.1269838283e-04,1.3412133629e-04,5.7168841505e+01,7.2715936039e-05,1.1269838283e-04,1.3412133629e-04,5.7168841505e+01,-3.1250953907e-04,3.1250953907e-04,-9.3752861721e-04,-6.2501907814e-04
7.0624442473e-05,1.1143650060e-04,1.3193144258e-04,5.7634953105e+01,1.0000003052e+07,6.1900946097e-05,7.9019156490e-05,7.0624442473e-05,1.1143650060e-04,1.3193144258e-04,5.7634953105e+01,7.0624442473e-05,1.1143650060e-04,1.3193144258e-04,5.7634953105e+01,7.0624442473e-05,1.1143650060e-04,1.3193144258e-04,5.7634953105e+01,6.2501907814e-04,6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04
6.9094386174e-05,1.1208319550e-04,1.3166881527e-04,5.8347988833e+01,1.0000003052e+07,6.1905590580e-05,7.9026128162e-05,6.9094386174e-05,1.1208319550e-04,1.3166881527e-04,5.8347988833e+01,6.9094386174e-05,1.1208319550e-04,1.3166881527e-04,5.8347988833e+01,6.9094386174e-05,1.1208319550e-04,1.3166881527e-04,5.8347988833e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-9.3752861721e-04
6.8316529001e-05,1.1441220767e-04,1.3325652479e-04,5.9158210157e+01,1.0000003052e+07,6.1910411731e-05,7.9032941004e-05,6.8316529001e-05,1.1441220767e-04,1.3325652479e-04,5.9158210157e+01,6.8316529001e-05,1.1441220767e-04,1.3325652479e-04,5.9158210157e+01,6.8316529001e-05,1.1441220767e-04,1.3325652479e-04,5.9158210157e+01,0.0000000000e+00,9.3752861721e-04,0.0000000000e+00,-3.1250953907e-04
6.7822137155e-05,1.1773277358e-04,1.3587070421e-04,6.0055117115e+01,1.0000003052e+07,6.1920280712e-05,7.9045305773e-05,6.7822137155e-05,1.1773277358e-04,1.3587070421e-04,6.0055117115e+01,6.7822137155e-05,1.1773277358e-04,1.3587070421e-04,6.0055117115e+01,6.7822137155e-05,1.1773277358e-04,1.3587070421e-04,6.0055117115e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
6.7056102888e-05,1.2072011338e-04,1.3809368815e-04,6.0949254917e+01,1.0000003052e+07,6.1925320796e-05,7.9050779269e-05,6.7056102888e-05,1.2072011338e-04,1.3809368815e-04,6.0949254917e+01,6.7056102888e-05,1.2072011338e-04,1.3809368815e-04,6.0949254917e+01,6.7056102888e-05,1.2072011338e-04,1.3809368815e-04,6.0949254917e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-9.3752861721e-04
6.5833324184e-05,1.2231130268e-04,1.3890313652e-04,6.1708912650e+01,1.0000003052e+07,6.1930504567e-05,7.9055954784e-05,6.5833324184e-05,1.2231130268e-04,1.3890313652e-04,6.1708912650e+01,6.5833324184e-05,1.2231130268e-04,1.3890313652e-04,6.1708912650e+01,6.5833324184e-05,1.2231130268e-04,1.3890313652e-04,6.1708912650e+01,-3.1250953907e-04,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
6.4659882510e-05,1.2231890764e-04,1.3835756420e-04,6.2138302907e+01,1.0000003052e+07,6.1935858604e-05,7.9061029569e-05,6.4659882510e-05,1.2231890764e-04,1.3835756420e-04,6.2138302907e+01,6.4659882510e-05,1.2231890764e-04,1.3835756420e-04,6.2138302907e+01,6.4659882510e-05,1.2231890764e-04,1.3835756420e-04,6.2138302907e+01,6.2501907814e-04,9.3752861721e-04,3.1250953907e-04,0.0000000000e+00
6.4199943767e-05,1.2109837842e-04,1.3706367146e-04,6.2069839458e+01,1.0000001526e+07,6.1941331963e-05,7.9066159600e-05,6.4199943767e-05,1.2109837842e-04,1.3706367146e-04,6.2069839458e+01,6.4199943767e-05,1.2109837842e-04,1.3706367146e-04,6.2069839458e+01,6.4199943767e-05,1.2109837842e-04,1.3706367146e-04,6.2069839458e+01,0.0000000000e+00,9.3752861721e-04,-3.1250953907e-04,-6.2501907814e-04
6.4562379264e-05,1.1898163701e-04,1.3536960797e-04,6.1514652242e+01,1.0000001526e+07,6.1946833156e-05,7.9071461730e-05,6.4562379264e-05,1.1898163701e-04,1.3536960797e-04,6.1514652242e+01,6.4562379264e-05,1.1898163701e-04,1.3536960797e-04,6.1514652242e+01,6.4562379264e-05,1.1898163701e-04,1.3536960797e-04,6.1514652242e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
6.5687433303e-05,1.1653160658e-04,1.3377015447e-04,6.0590583512e+01,1.0000001526e+07,6.1952262590e-05,7.9077023104e-05,6.5687433303e-05,1.1653160663e-04,1.3377015451e-04,6.0590583521e+01,6.5687433303e-05,1.1653160663e-04,1.3377015451e-04,6.0590583521e+01,6.5687433303e-05,1.1653160658e-04,1.3377015447e-04,6.0590583512e+01,-6.2501907814e-04,-3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
